Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,2.22,2.23,1.15,0.82,0.11,0.07,0.07,0.18,0.18,0.11,0.04,0.04,0,0,0,Matches
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,1.5,1.5,1.17,0.06,0.08,0.08,0.11,0.08,0.08,0.03,0.03,0,0,0.03,0,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,0.57,0.57,0.39,0,0,0.14,0.04,0.04,0.04,0.04,0,0,0,0,0,Matches
4,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,1.18,1.15,0.59,0,0.59,0,0,0,0,0,0,0,0,0,0,Matches
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,2.23,2.23,1.34,0.69,0.05,0.1,0.05,0.2,0.2,0.1,0.05,0,0.05,0,0,Matches
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,1.74,1.73,1.16,0,0,0,0.58,0.14,0.14,0,0,0,0,0.14,0,Matches
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,0.59,0.59,0.53,0,0,0.05,0,0,0,0,0,0,0,0,0,Matches
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,1.91,1.91,1.34,0,0.24,0.24,0.08,0.41,0.41,0.16,0,0.12,0.08,0.04,0,Matches
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,1.35,1.36,1.08,0.14,0.14,0,0,0,0,0,0,0,0,0,0,Matches
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,0.77,0.77,0.68,0,0.03,0.03,0.03,0.09,0.09,0.09,0,0,0,0,0,Matches
