Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
Harry Maguire,eng ENG,DF,26,52.8,0.98,0.85,0.59,0.38,0.02,0.32,0.85,37.8,0.53,5.44,2.01,36.9,3.5,1.76,0.17,1.02,0.55,0,0.47,1.84,2.58,5.28,0.02,Matches
Victor Lindelöf,se SWE,DF,25,44.1,0.68,0.45,0.48,0.18,0.02,0.27,0.39,70.6,0.11,5.19,1.52,29.3,2.79,2.27,0.14,1.2,0.54,0.02,0.66,0.84,1.27,3.9,0,Matches
Aaron Wan-Bissaka,eng ENG,DF,21,43,3.35,1.81,2,1.14,0.21,1.12,1.79,62.3,0.67,15.1,4.42,29.3,7.4,5.67,2,2.42,0.33,0,2.09,1.77,4.95,2.65,0,Matches
David de Gea,es ESP,GK,28,42,0,0,0,0,0,0,0,,0,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0.02,0.05,Matches
Fred,br BRA,MF,26,38,2.42,2.03,1.24,1.05,0.13,0.87,2.97,29.2,2.11,22.2,6.16,27.8,8.71,10.4,3.05,1.97,0.26,0,1.71,1.55,3.61,0.82,0,Matches
Anthony Martial,fr FRA,FW,23,37.1,0.4,0.32,0.03,0.11,0.27,0.03,0.43,6.3,0.4,11.9,3.34,28,0.65,4.23,7.06,0.57,0.03,0,0.54,0.13,0.51,0.46,0,Matches
Marcus Rashford,eng ENG,FW,21,36.2,0.39,0.25,0.06,0.22,0.11,0.22,0.86,25.8,0.64,11.40,3.09,27.2,0.97,5.22,5.19,0.83,0,0,0.83,0.36,0.66,0.55,0,Matches
Daniel James,wal WAL,FW,21,33.6,0.8,0.54,0.18,0.39,0.24,0.18,1.49,12,1.31,18.4,4.79,26.1,4.11,8.3,5.98,1.22,0.15,0,1.07,0.33,1.07,0.33,0,Matches
Luke Shaw,eng ENG,DF,24,28,1.5,1.14,0.86,0.39,0.25,0.68,1.46,46.3,0.79,11.6,3.54,30.6,4.75,5.18,1.64,2.36,0.29,0,2.07,1.21,2.46,2.39,0,Matches
Nemanja Mati?,rs SRB,MF,30,27.9,1.76,1.11,0.72,1,0.04,0.47,1.47,31.7,1,12.2,3.66,30,4.66,6.45,1.08,1.43,0.32,0,1.11,1.47,2.83,1.51,0.04,Matches
Scott McTominay,sco SCO,MF,22,27.2,2.28,1.76,1.03,1.07,0.18,0.66,1.76,37.5,1.1,12.4,3.97,32,4.19,6.8,1.43,1.88,0.33,0,1.54,1.91,3.93,2.02,0,Matches
Mason Greenwood,eng ENG,FW,17,27.2,0.96,0.74,0.29,0.33,0.33,0.26,0.92,28,0.66,11.1,3.16,28.5,2.43,4.63,4.04,0.63,0,0,0.63,0.44,1.29,0.15,0,Matches
Andreas Pereira,br BRA,"FW,MF",23,25.5,1.14,0.9,0.27,0.63,0.24,0.47,1.92,24.5,1.45,19.1,5.22,27.3,3.65,10.5,4.98,0.98,0,0,0.98,0.59,1.45,0.24,0,Matches
Brandon Williams,eng ENG,DF,18,25.2,1.23,0.6,0.79,0.36,0.08,0.56,1.55,35.9,0.99,9.56,2.62,27.4,4.13,3.93,1.51,2.02,0.36,0,1.67,1.39,2.02,1.51,0,Matches
Juan Mata,es ESP,"MF,FW",31,21.6,0.56,0.46,0.23,0.19,0.14,0.14,0.88,15.8,0.74,11.9,3.06,25.7,1.71,6.25,3.94,0.46,0.05,0,0.42,0.09,0.65,0.14,0,Matches
