Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
Harry Maguire,eng ENG,DF,26,52.8,54,52.2,1.74,1.55,0.02,8.24,2.01,0.06,0,0,0,0,40.2,6.25,7.52,7.37,41.6,2.67,0.19,0.3,47.9,0.11,1.06,0.47,0.23,Matches
Victor Lindelöf,se SWE,DF,25,44.1,49.4,48,1.38,1.09,0.05,6.83,0.77,0.05,0,0,0,0,38.3,5.19,5.85,6.33,39.4,1.77,0.29,0.34,43.4,0.07,0.75,0.63,0.48,Matches
Aaron Wan-Bissaka,eng ENG,DF,21,43,51.8,42.2,9.56,0.37,0,7.35,0.44,2.79,0,0,0,0,33.3,10.2,8.21,2.09,39,1.09,9.19,0.05,42.2,0.12,0.53,0.84,2.3,Matches
David de Gea,es ESP,GK,28,42,23,14.5,8.5,1.88,0,2.62,0.57,0,0,0,0,0,13.4,1.93,7.69,1.38,17.2,0,0.02,3.6,17.8,0.05,0.48,0.07,0.12,Matches
Fred,br BRA,MF,26,38,59,55.6,3.39,1.74,0.13,10.5,2.79,2.11,1.26,0.39,0.53,0,43,8.18,7.84,41.5,15.9,0.92,0.32,0.24,50.8,0.08,0.66,0.79,1.24,Matches
Anthony Martial,fr FRA,FW,23,37.1,21.1,20.3,0.81,0.11,0.16,6.06,0.08,0.35,0,0,0,0,17.2,2.8,1.13,3.67,16.3,0.32,0.11,0.22,16.7,0.05,0.22,0.46,1.37,Matches
Marcus Rashford,eng ENG,FW,21,36.2,29.7,28.9,0.8,0.06,0.25,4.72,0.75,0.94,0.28,0.17,0.03,0.06,22.2,3.65,3.87,2.79,24.9,0.91,0.22,0.41,23,0.14,0.55,0.77,1.22,Matches
Daniel James,wal WAL,FW,21,33.6,26.8,26.3,0.45,0.12,0.09,5.98,0.68,3.63,0.09,0.03,0.03,0,19.7,3.96,3.1,3.18,22.9,0.42,0.15,0.03,19.8,0.09,0.6,0.48,2.05,Matches
Luke Shaw,eng ENG,DF,24,28,58.1,51.1,7.07,0.89,0.04,11,0.75,1.96,0.18,0.14,0,0,40.7,8.93,8.54,43.8,5.04,2.36,6,0.18,50.3,0.07,0.54,0.89,1.54,Matches
Nemanja Mati?,rs SRB,MF,30,27.9,56.1,54.7,1.43,1.25,0.04,10.1,1.47,0.14,0,0,0,0,44.3,5.84,5.91,46.3,7.06,1.61,0.18,0.22,49.8,0.04,0.54,0.86,0.86,Matches
Scott McTominay,sco SCO,MF,22,27.2,47.2,45.7,1.47,1.36,0.11,7.06,2.17,0.59,0,0,0,0,35.3,5.48,6.4,2.28,41.4,2.02,0.11,0.26,39.1,0.11,0.77,1.1,1.03,Matches
Mason Greenwood,eng ENG,FW,17,27.2,24.5,24.2,0.29,0,0.04,5.11,0.59,0.55,0.11,0,0.04,0.04,19.7,2.79,2.06,18.6,5.18,0.48,0.04,0,21.1,0.04,0.26,0.37,0.63,Matches
Andreas Pereira,br BRA,"FW,MF",23,25.5,35.5,31.8,3.69,1.14,0.04,7.22,1.41,3.8,1.8,0.59,0.63,0.12,24,5.8,5.76,4.04,29.5,0.94,0.39,0.2,26.5,0.2,0.51,0.86,1.25,Matches
Brandon Williams,eng ENG,DF,18,25.2,40.3,35.1,5.24,0.44,0.04,6.71,0.67,0.91,0.08,0,0,0,28.1,6.23,5.95,9.17,24.9,0.91,4.72,0.16,34.1,0.16,0.56,0.79,0.75,Matches
Juan Mata,es ESP,"MF,FW",31,21.6,47,44.4,2.59,0.83,0.14,9.35,1.62,2.69,0.97,0.42,0.28,0.14,33.2,6.67,7.13,39.5,6.48,0.32,0.37,0.19,39.2,0.28,0.46,0.74,1.34,Matches
Jesse Lingard,eng ENG,"MF,FW",26,21,31.5,30.2,1.29,0.24,0.1,5.52,0.52,0.76,0.19,0,0.05,0,24.8,4.1,2.62,2.1,27.8,0.62,0.43,0.43,27,0.14,0.52,0.62,0.67,Matches
