Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
Harry Maguire,eng ENG,DF,26,52.8,47.9,54,88.8,1058.9,269.7,0.38,0.61,62.5,31.2,33.9,92,16.4,19.5,84,0.04,0.01,0.01,0.3,3.56,0.06,0,2.31,Matches
Victor Lindelöf,se SWE,DF,25,44.1,43.4,49.4,88,873.7,273.5,0.36,0.88,41,31.7,33.8,93.6,11.4,14.7,77.8,0.02,0.01,-0.01,0.11,2.18,0.02,0,2.34,Matches
Aaron Wan-Bissaka,eng ENG,DF,21,43,42.2,51.8,81.5,628.8,237,1.05,2.95,35.4,37.6,42.6,88.2,3.56,6.19,57.5,0.09,0.07,0.02,0.67,2.6,0.49,0.26,4.53,Matches
David de Gea,es ESP,GK,28,42,17.8,23,77.4,463.1,269.4,0,0.1,0,11.1,11.2,99.4,6.71,11.7,57.2,0,0,0,0,0.14,0,0,0,Matches
Fred,br BRA,MF,26,38,50.8,59,86.2,1020.9,249,0.84,1.97,42.7,36.4,39.9,91.2,13.6,17.1,79.4,0.11,0.09,0.02,1.16,5.34,0.45,0.08,5.05,Matches
Anthony Martial,fr FRA,FW,23,37.1,16.7,21.1,79.2,234.4,50.2,0.7,2.05,34.2,14.4,17,84.9,1.59,2.08,76.6,0.24,0.12,0.04,0.86,1.08,1.02,0.03,1.97,Matches
Marcus Rashford,eng ENG,FW,21,36.2,23,29.7,77.3,380.1,101.7,0.64,1.82,34.8,19,23,82.9,3.31,4.94,67,0.25,0.14,0.08,1.02,1.85,2.07,0.11,4.28,Matches
Daniel James,wal WAL,FW,21,33.6,19.8,26.8,74,304,72.1,0.63,2.47,25.3,17.1,20.5,83.2,2.11,3.78,55.9,0.18,0.13,0.05,0.83,1.19,1.04,0.27,2.44,Matches
Luke Shaw,eng ENG,DF,24,28,50.3,58.1,86.5,780.5,287.9,0.86,2,42.9,44.5,48.7,91.3,4.96,7.43,66.8,0.07,0.06,-0.02,1,3.14,1.04,0.29,6.18,Matches
Nemanja Mati?,rs SRB,MF,30,27.9,49.8,56.1,88.8,928.4,233.4,0.43,1.22,35.3,38.7,42.2,91.8,10.7,12.7,83.9,0.11,0.05,0.03,0.72,5.63,0.61,0.04,4.87,Matches
Scott McTominay,sco SCO,MF,22,27.2,39.1,47.2,82.9,794.2,198.2,0.63,1.4,44.7,27.8,32.3,85.9,10.7,13.5,79.5,0.04,0.04,0,0.66,4.34,0.55,0.11,4.49,Matches
Mason Greenwood,eng ENG,FW,17,27.2,21.1,24.5,86.1,325.1,56,0.59,1.21,48.5,18.2,20.2,90.3,2.28,3.13,72.9,0.11,0.05,0.02,0.77,1.07,0.44,0.04,1.36,Matches
Andreas Pereira,br BRA,"FW,MF",23,25.5,26.5,35.5,74.5,469.8,129.6,0.55,1.65,33.3,21,25,84.1,4.9,8.9,55.1,0.16,0.16,-0.05,1.41,2.51,0.78,0.16,3.96,Matches
Brandon Williams,eng ENG,DF,18,25.2,34.1,40.3,84.6,571.7,179.8,0.4,1.03,38.5,28.5,31.7,89.9,5.2,7.54,68.9,0,0.02,-0.02,0.56,2.06,0.83,0.2,3.89,Matches
Juan Mata,es ESP,"MF,FW",31,21.6,39.2,47,83.4,660,148.6,0.93,2.41,38.5,31.9,34.7,92,6.34,9.86,64.3,0.32,0.23,0.1,1.85,4.4,1.39,0.09,4.4,Matches
Jesse Lingard,eng ENG,"MF,FW",26,21,27,31.5,85.6,414.9,84.6,0.95,1.52,62.5,22.6,25.5,88.8,3.38,4.48,75.5,0.1,0.09,-0.04,1.14,2.71,0.86,0,2.57,Matches
Bruno Fernandes,pt POR,MF,24,17.9,39.3,55.5,70.7,744.7,211.9,0.45,2.79,16,30.1,36.7,81.9,8.77,16,54.7,0.45,0.18,0.26,2.35,4.53,1.62,0.17,6.87,Matches
Sergio Romero,ar ARG,GK,32,16.7,11.6,14.3,81.2,272.8,164.3,0.12,0.12,100,7.78,7.84,99.2,3.71,6.35,58.5,0,0,0,0,0,0,0,0,Matches
Paul Pogba,fr FRA,MF,26,15.9,56.6,66.1,85.6,1141.1,306.5,0.82,2.08,39.4,42,46.8,89.8,13.8,17.2,79.9,0.19,0.16,0.03,1.7,7.61,1.82,0.06,7.48,Matches
Ashley Young,eng ENG,DF,34,14.6,46.2,59.5,77.6,911.9,351.2,0.27,1.71,16,36,40.3,89.5,9.86,17.5,56.5,0.07,0.11,-0.04,1.3,4.25,1.1,0.14,8.63,Matches
Marcos Rojo,ar ARG,DF,29,7.5,38.9,47.9,81.3,817.5,354.1,0.27,0.8,33.3,28.3,31.5,89.8,10.4,15.6,66.7,0,0.04,-0.04,0.27,4.4,0.93,0.13,5.07,Matches
Eric Bailly,ci CIV,DF,25,7.2,28.6,31.5,90.7,613.6,226.4,0,0.56,0,20.6,21.5,95.5,8.06,9.44,85.3,0,0,0,0,0.42,0,0,1.39,Matches
Axel Tuanzebe,eng ENG,DF,21,7.1,50.8,55.2,92.1,998.7,291.7,0.14,0.56,25,38,40,95.1,12.7,14.6,86.5,0,0,0,0,3.38,0,0,3.52,Matches
Odion Ighalo,ng NGA,FW,30,6.8,10.3,13.1,78.7,129,14.6,0.29,0.59,50,9.56,11.9,80.2,0.44,0.59,75,0.15,0.09,0.06,1.03,0.88,0.15,0,0.29,Matches
Diogo Dalot,pt POR,DF,20,6.4,29.5,37.5,78.8,536.9,152.2,0.31,1.09,28.6,24.7,29.2,84.5,4.53,7.19,63,0,0.03,-0.03,0.31,1.09,0.78,0.31,3.91,Matches
Phil Jones,eng ENG,DF,27,6.3,33.5,37,90.6,673.5,194,0.32,0.48,66.7,24.4,26.3,92.8,8.73,10.2,85.9,0,0,0,0.16,2.86,0,0,1.9,Matches
Tahith Chong,nl NED,FW,19,5.2,17.9,23.7,75.6,295.4,63.5,0.19,2.12,9.1,15.2,18.1,84,2.5,3.46,72.2,0.38,0.04,0.35,0.38,0.96,0,0,1.92,Matches
James Garner,eng ENG,MF,18,3.5,57.1,62.3,91.7,1099.1,175.7,0.57,1.43,40,44.3,46.3,95.7,12.3,14.6,84.3,0,0,0,0,5.71,0.29,0,3.43,Matches
