Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
Harry Maguire,eng ENG,DF,26,52.8,63.2,9.66,32.4,32.6,3.64,1.29,61.6,0.28,0.36,78.9,0.3,0,40.9,319.8,189,43.9,2263,97.7,0.13,0.19,Matches
Victor Lindelöf,se SWE,DF,25,44.1,56.2,8.16,30,27.9,1.79,0.25,54.9,0.09,0.2,44.4,0.11,0,36,215.4,121.4,38.8,1691,98.9,0.16,0.09,Matches
Aaron Wan-Bissaka,eng ENG,DF,21,43,63.7,2.49,18.1,29.7,19.3,1.12,54.3,1.49,2.28,65.3,1.51,3,38.6,205.8,122.6,39.2,1569,93,0.67,1,Matches
David de Gea,es ESP,GK,28,42,24.6,22.9,24.6,0,0,0,16.2,0,0,,0,0,10.3,46,21.2,9.26,388,99.7,0,0,Matches
Fred,br BRA,MF,26,38,69.3,2.03,15.4,42.7,16,0.74,66.2,1.16,1.53,75.9,1.26,4,50.6,262.8,137.2,51.4,1851,94.7,0.97,1.26,Matches
Anthony Martial,fr FRA,FW,23,37.1,31.8,0.51,1.48,12.3,20.2,5.47,31,1.97,3.15,62.4,2.05,3,26.5,167.7,93,41.7,984,63.6,1.97,2.18,Matches
Marcus Rashford,eng ENG,FW,21,36.2,41.6,0.55,2.68,16.7,26,5.03,40.2,2.21,4.03,54.8,2.4,13,30.7,228,159.6,46.9,1206,71,2.13,1.41,Matches
Daniel James,wal WAL,FW,21,33.6,36.2,0.36,4.49,14.4,20.7,3.48,35.8,0.98,2.17,45.2,1.04,5,28.9,238.9,165.1,37.3,934,74.5,1.25,1.46,Matches
Luke Shaw,eng ENG,DF,24,28,66.6,3.25,18.3,33.4,20.7,1.54,59.7,1.07,1.5,71.4,1.11,1,43.8,267,159.5,45.7,1212,94.7,0.54,0.36,Matches
Nemanja Mati?,rs SRB,MF,30,27.9,63.8,2.33,16.6,41.1,11.3,0.39,62.4,1,1.22,82.4,1.04,0,45.4,282.5,159.1,48.3,1302,96.6,0.61,1.04,Matches
Scott McTominay,sco SCO,MF,22,27.2,60.4,2.94,15,37.1,11.9,1.18,59.3,1.62,2.35,68.8,1.76,5,43.2,244.4,122.7,43.3,1100,93.3,1.07,1.47,Matches
Mason Greenwood,eng ENG,FW,17,27.2,32.6,0.22,2.9,14.2,17.3,3.01,32.2,0.96,1.54,61.9,1.07,1,25.4,143.8,78.1,34.6,709,75.3,1.69,1.07,Matches
Andreas Pereira,br BRA,"FW,MF",23,25.5,45.6,0.51,4.9,23.5,20.8,2.9,42,1.1,1.92,57.1,1.22,0,33.6,208.3,111.1,40.5,851,82.5,1.92,1.92,Matches
Brandon Williams,eng ENG,DF,18,25.2,48.6,2.5,14.9,23.8,13.8,1.47,43.5,0.99,1.55,64.1,1.11,1,32.3,202,126.1,34.1,801,93.1,0.95,0.79,Matches
Juan Mata,es ESP,"MF,FW",31,21.6,53.2,0.28,3.52,29.5,23.1,3.47,50.6,0.88,1.53,57.6,1.02,2,41,212.2,103.8,53.1,962,83.8,1.39,0.97,Matches
Jesse Lingard,eng ENG,"MF,FW",26,21,40.3,0.24,2.57,20.5,20.3,3.05,39,1.05,1.86,56.4,1.19,1,30.8,183.7,93.8,41.5,675,77.5,2.05,1.1,Matches
Bruno Fernandes,pt POR,MF,24,17.9,65.2,1.01,6.03,31.6,31.6,2.68,58.4,0.95,1.28,73.9,0.95,1,42.2,214.2,127,55.1,859,87,1.62,1.01,Matches
Sergio Romero,ar ARG,GK,32,16.7,15.1,13.7,15.1,0,0,0,10.6,0,0,,0,0,7.49,30.5,17.8,6.23,102,98.1,0.06,0,Matches
Paul Pogba,fr FRA,MF,26,15.9,76,2.2,13.6,48.6,18.7,1.82,74.3,1.38,2.2,62.9,1.57,1,57.4,258.4,134.6,61.1,927,95.5,0.82,1.64,Matches
Ashley Young,eng ENG,DF,34,14.6,67.9,2.88,16.3,36.2,18.9,1.1,54.3,0.89,1.58,56.5,0.96,2,42.1,184.2,105.6,42.9,588,93.9,0.48,0.48,Matches
Marcos Rojo,ar ARG,DF,29,7.5,54.7,6.27,22.3,28.8,7.6,0.8,52.4,0.4,0.53,75,0.4,0,38.3,198,131.7,40.4,296,97.7,0.27,0,Matches
Eric Bailly,ci CIV,DF,25,7.2,40.3,6.67,21.5,20.1,0.42,0.14,39.7,0.42,0.42,100,0.42,0,23.8,135.7,60.1,23.5,168,99.4,0,0.28,Matches
Axel Tuanzebe,eng ENG,DF,21,7.1,63.1,5.92,24.5,36.9,6.34,0.42,60.6,0.14,0.56,25,0.14,0,45.2,272.8,147.7,46.8,324,97.6,0.56,0.56,Matches
Odion Ighalo,ng NGA,FW,30,6.8,20.9,0.15,0.44,9.12,11.9,5.15,20.4,1.47,2.35,62.5,1.47,0,15,86.2,41.2,24.6,110,65.9,1.18,1.91,Matches
Diogo Dalot,pt POR,DF,20,6.4,44.8,2.81,8.91,17.3,21.3,1.56,39.2,1.09,1.41,77.8,1.09,0,29.7,171.9,103.6,31.9,189,92.6,0.78,1.25,Matches
Phil Jones,eng ENG,DF,27,6.3,45.4,4.29,19.7,26.7,2.86,0.32,43.7,0.63,0.95,66.7,0.79,0,29.7,179.4,108.6,30.8,190,97.9,0,0.32,Matches
Tahith Chong,nl NED,FW,19,5.2,34,0.58,4.23,15,16.7,3.08,32.9,1.73,2.5,69.2,1.73,0,28.3,193.3,118.5,32.5,136,80.5,2.12,1.73,Matches
James Garner,eng ENG,MF,18,3.5,70.6,1.43,11.4,48.9,13.4,0.86,69.7,0.86,1.14,75,0.86,0,54,251.7,109.1,56.6,190,96,1.14,0,Matches
Angel Gomes,eng ENG,"FW,MF",18,3.3,63.6,0.91,4.55,27.3,37.3,3.03,58.2,2.12,2.12,100,2.12,0,50,265.8,155.2,57.3,160,84.7,1.21,1.82,Matches
