Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Harry Maguire,eng ENG,DF,26,52.8,0.06,0.97,0.27,27.5,0.97,0.27,0.06,0.21,0,0,0,0.04,0.04,0.06,-0.02,-0.02,Matches
Victor Lindelöf,se SWE,DF,25,44.1,0.02,0.16,0.02,14.3,0.16,0.02,0.14,1,0,0,0,0.01,0.01,0.06,0.01,0.01,Matches
Aaron Wan-Bissaka,eng ENG,DF,21,43,0,0.23,0.02,10,0.23,0.02,0,0,0,0,0,0.02,0.02,0.1,-0.02,-0.02,Matches
David de Gea,es ESP,GK,28,42,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
Fred,br BRA,MF,26,38,0.05,1.55,0.39,25.4,1.55,0.4,0.03,0.13,0.13,0,0,0.08,0.08,0.06,-0.03,-0.03,Matches
Anthony Martial,fr FRA,FW,23,37.1,0.62,2.72,1.24,45.5,2.72,1.24,0.22,0.48,0,0.03,0.05,0.36,0.32,0.14,0.2,0.22,Matches
Marcus Rashford,eng ENG,FW,21,36.2,0.61,3.23,1.44,44.4,3.23,1.44,0.13,0.29,0.52,0.19,0.25,0.55,0.39,0.16,-0.06,-0.06,Matches
Daniel James,wal WAL,FW,21,33.6,0.12,1.55,0.65,42.3,1.55,0.65,0.08,0.18,0,0,0,0.12,0.12,0.09,0,0,Matches
Luke Shaw,eng ENG,DF,24,28,0.04,0.68,0.32,47.4,0.68,0.32,0.05,0.11,0,0,0,0.02,0.02,0.05,-0.02,-0.02,Matches
Nemanja Mati?,rs SRB,MF,30,27.9,0.04,0.39,0.11,27.3,0.39,0.11,0.09,0.33,0,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
Scott McTominay,sco SCO,MF,22,27.2,0.18,1.62,0.44,27.3,1.62,0.44,0.11,0.42,0,0,0,0.07,0.07,0.05,0.11,0.11,Matches
Mason Greenwood,eng ENG,FW,17,27.2,0.63,2.83,1.32,46.8,2.83,1.32,0.21,0.44,0.04,0.04,0.04,0.19,0.19,0.1,0.36,0.36,Matches
Andreas Pereira,br BRA,"FW,MF",23,25.5,0.08,2.31,0.82,35.6,2.31,0.82,0.03,0.1,0.16,0,0,0.1,0.1,0.06,-0.02,-0.02,Matches
Brandon Williams,eng ENG,DF,18,25.2,0.04,0.4,0.12,30,0.4,0.12,0.1,0.33,0,0,0,0.03,0.03,0.11,0.01,0.01,Matches
Juan Mata,es ESP,"MF,FW",31,21.6,0.14,1.48,0.37,25,1.48,0.37,0.06,0.25,0.14,0.05,0.05,0.16,0.13,0.14,-0.07,-0.08,Matches
