Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,0,0,0,9,8,2,88,46,32,0,0,1,243,12,17,41.4,Matches
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,7,0,0,29,49,3,72,35,36,1,0,0,281,23,42,35.4,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,0,0,0,21,20,0,1,49,37,0,1,0,226,86,42,67.2,Matches
4,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,1,0,0,0,0,3,8,1,1,0,0,0,15,6,11,35.3,Matches
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,5,0,0,55,43,1,62,22,41,0,1,0,194,14,19,42.4,Matches
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,2,0,0,16,10,7,3,3,8,1,0,0,25,27,39,40.9,Matches
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,2,1,0,14,12,0,9,23,22,0,0,0,224,51,32,61.4,Matches
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,2,0,0,17,24,23,10,5,10,1,0,1,95,67,111,37.6,Matches
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,3,0,0,17,12,0,7,7,13,0,0,0,84,12,9,57.1,Matches
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,4,0,0,25,41,5,26,42,33,1,0,0,356,73,35,67.6,Matches
11,Che Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,0,0,0,17,16,10,14,2,6,1,0,0,73,29,86,25.2,Matches
12,Tyler Adams,us USA,"DF,MF",RB Leipzig,de Bundesliga,20,1999,10.6,0,0,0,9,16,0,10,13,12,0,0,0,106,10,16,38.5,Matches
13,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,1,0,0,12,7,7,11,2,4,1,0,0,47,14,40,25.9,Matches
14,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
15,Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,1,0,0,2,3,1,1,3,3,0,0,0,10,1,6,14.3,Matches
16,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,0,0,0,3,2,1,2,4,3,0,0,0,12,4,2,66.7,Matches
17,Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,0.5,1,0,0,2,0,0,4,1,0,0,0,0,4,1,1,50,Matches
18,Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,19,2000,11.3,3,0,0,13,18,0,39,7,18,0,0,0,85,9,14,39.1,Matches
19,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,1,0,0,0,1,0,0,0,0,0,0,0,47,0,0,,Matches
20,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,3,0,0,7,1,0,0,0,1,0,0,0,7,20,6,76.9,Matches
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,5,1,1,13,10,0,78,25,23,0,0,0,205,14,15,48.3,Matches
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,5,1,0,32,19,1,33,18,22,0,1,0,207,23,20,53.5,Matches
23,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,1,0,0,1,0,0,2,0,3,0,0,0,10,1,0,100,Matches
24,Kevin Agudelo,co COL,"MF,FW",Fiorentina,it Serie A,20,1998,0.7,0,0,0,3,1,0,0,1,1,0,0,0,11,0,2,0,Matches
25,Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,7.4,5,1,1,20,11,1,11,6,18,0,1,0,55,4,6,40,Matches
