Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,44,55.8,78.8,761.2,332.2,0.57,2.01,28.6,36.5,42,86.9,6.92,11.8,58.5,0.07,0.11,-0.04,1.15,3.05,0.9,0.18,7.74,Matches
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,36.6,46.8,78.1,563.4,189.8,0.89,2.67,33.3,31.5,36.5,86.3,4.14,7.58,54.6,0.03,0.09,-0.07,0.67,1.22,0.89,0.36,3.42,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,47.4,54.1,87.7,1054,322.9,0.32,0.82,39.1,30.4,33,92.1,16.7,20.3,82.4,0,0,0,0.07,1.61,0.11,0,2.96,Matches
4,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,10.6,23.5,45,185.9,77.6,0,2.94,0,9.41,16.5,57.1,1.18,4.12,28.6,0,0.12,-0.12,0.59,1.18,1.18,0.59,2.94,Matches
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,39.7,47.4,83.7,724.7,190.6,0.3,1.04,28.6,31.3,34,92.1,8.07,12.4,65.2,0.1,0.07,0.03,1.29,4.21,0.3,0.2,4.06,Matches
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,10.7,19.1,56.1,157.2,28.8,1.3,3.04,42.9,8.26,14.1,58.8,1.16,2.03,57.1,0,0.16,-0.16,0.72,0.72,0.29,0,1.16,Matches
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,39.5,47.7,82.8,885.1,323.4,0.32,0.85,37.5,25.7,29.1,88.3,13.5,17.7,76,0,0.01,-0.01,0.11,3.99,0.37,0,5.74,Matches
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,11.7,16.8,69.7,171.2,33,1.06,2.2,48.1,9.07,12.4,72.9,1.59,2.15,73.6,0.12,0.11,0.02,0.73,0.65,0.2,0,1.3,Matches
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,40.3,46.2,87.1,635.8,138.9,1.49,2.97,50,34.9,37.8,92.1,3.92,5.41,72.5,0,0.01,-0.01,0.54,2.57,0.68,0.41,3.24,Matches
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,51.5,57.3,90,1177.9,355.8,0.46,1,45.7,32.9,34.9,94.2,18.1,21.3,85,0.06,0.05,0.01,0.2,3.93,0.4,0.09,3.62,Matches
11,Che Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,15,21.5,69.4,238.4,51.4,0.81,2.11,38.5,12.2,15.9,76.5,1.95,3.5,55.8,0.16,0.11,0.06,0.89,0.98,0.24,0,1.71,Matches
12,Tyler Adams,us USA,"DF,MF",RB Leipzig,de Bundesliga,20,1999,10.6,56.1,65.9,85.1,923.9,250.3,1.13,2.74,41.4,46.6,52.3,89.2,8.4,10.9,76.7,0,0.05,-0.05,0.57,2.83,0.75,0.19,4.91,Matches
13,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,16.9,23,73.3,241.9,51.7,0.48,1.93,25,14.3,18.1,79.3,2.05,3.01,68,0.12,0.11,0.01,0.84,0.6,0.48,0.24,2.05,Matches
14,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,13.3,20,66.7,403.3,326.7,0,0,,6.67,6.67,100,6.67,13.3,50,0,0,0,0,0,0,0,0,Matches
15,Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,19.5,21.9,89.1,260,32.4,0.95,0.95,100,16.2,18.6,87.2,2.38,2.38,100,0,0.05,-0.05,0.95,0.48,0,0,0.48,Matches
16,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,23.5,30.8,76.3,428.1,137.7,0.77,1.15,66.7,18.1,21.9,82.5,4.62,7.69,60,0,0,0,0,2.31,0,0,3.08,Matches
17,Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,0.5,42,54,77.8,672,254,0,0,,38,42,90.5,4,12,33.3,0,0.2,-0.2,4,8,2,0,10,Matches
18,Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,19,2000,11.3,40.6,51.2,79.4,750.3,174.6,0.35,1.24,28.6,31.9,37.1,85.9,8.41,12.8,65.5,0.27,0.18,0.09,1.59,4.42,0.8,0,6.02,Matches
19,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,23.4,32.4,72.3,703.6,393.8,0.21,0.41,50,11,11.1,99.1,12.2,20.8,58.4,0,0,0,0,0.31,0,0,0,Matches
20,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,14.3,24.8,57.9,186.1,38.3,0,0.43,0,13.9,20.9,66.7,0.43,3.48,12.5,0,0,0,0,1.3,0,0,1.3,Matches
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,35.3,48.2,73.2,617.7,306.8,0.55,2.44,22.4,29.2,35.6,82,5.57,10.2,54.6,0,0.09,-0.09,0.8,2.34,1.04,0.6,7.01,Matches
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,31,43.5,71.2,542,260.5,0.39,2.1,18.4,26,31.2,83.3,4.64,10.3,45.2,0.04,0.04,0,0.52,1.55,0.6,0.21,5.28,Matches
23,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,45,48.8,92.3,838.8,251.3,0,0,,37.5,41.3,90.9,7.5,7.5,100,0,0.13,-0.13,1.25,5,2.5,1.25,7.5,Matches
24,Kevin Agudelo,co COL,"MF,FW",Fiorentina,it Serie A,20,1998,0.7,41.4,51.4,80.6,654.3,201.4,0,0,,37.1,45.7,81.3,4.29,5.71,75,0,0.14,-0.14,2.86,1.43,1.43,0,4.29,Matches
25,Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,7.4,33.1,40.7,81.4,518.9,121.9,1.22,2.97,40.9,27.3,31.1,87.8,4.59,6.62,69.4,0.14,0.16,-0.03,1.49,2.7,0.68,0,2.3,Matches
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,45.9,54,85.1,1117.5,417.1,0.09,0.75,12.5,27.5,28.9,95.4,18.3,24.3,75.2,0,0,0,0,1.89,0,0,2.08,Matches
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,17.6,22.8,77.4,232,48.5,1.06,2.36,44.7,15.5,19,81.4,1.12,1.43,78.3,0.19,0.15,0.04,0.99,0.75,1.24,0,2.05,Matches
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,56,66.5,84.2,925.3,343.7,1.01,2.44,41.4,46.1,50.3,91.8,8.82,13.8,64,0.17,0.13,0.04,1.18,3.28,2.1,1.26,6.97,Matches
29,Emmanuel Agyemang-Badu,gh GHA,"MF,FW",Hellas Verona,it Serie A,28,1990,2.6,35,40,87.5,671.5,111.9,0.38,0.38,100,26.2,28.5,91.9,8.46,11.2,75.9,0,0,0,0.38,1.54,0.38,0,2.31,Matches
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7,37.4,44.7,83.7,690.9,118.6,0.71,1.43,50,28.3,32,88.4,8.43,11.3,74.7,0.14,0.01,0.13,0.43,2.43,0,0,2.71,Matches
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,38.6,44,87.7,862.6,241.4,0.22,0.83,26.1,24.7,27.1,91.5,13.6,16.1,84.6,0.04,0.03,0.01,0.07,2.19,0.07,0,2.3,Matches
32,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,37.4,50.2,74.4,669,277.4,0.69,2.29,30.2,29.4,33.7,87.3,7.23,14.2,50.9,0.09,0.1,-0.01,0.91,2.42,0.91,0.48,5.76,Matches
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6,59.7,68.7,86.9,1058.2,262.3,0.17,1.5,11.1,49,53.7,91.3,10.5,13.5,77.8,0.17,0.02,0.15,0.67,5,0.5,0,6.17,Matches
34,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,44,56.4,78,733.9,334.2,0.28,1.97,14.3,37.3,42.4,87.9,6.48,12,53.8,0.14,0.06,0.08,0.85,2.54,1.27,0.85,6.55,Matches
35,Albian Ajeti,ch SUI,"MF,FW",West Ham,eng Premier League,22,1997,1.5,10,12,83.3,101.3,5.33,0.67,0.67,100,9.33,11.3,82.4,0,0,,0,0.07,-0.07,1.33,0,0,0,0,Matches
36,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,16.2,22.2,72.9,255.9,40.5,0.52,1.22,42.9,13.4,17.4,76.9,2.27,3.58,63.4,0.17,0.13,0.04,0.61,0.61,0.52,0.17,1.44,Matches
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,68.8,75.1,91.6,1436.6,466.8,0.31,0.97,32,48.2,50.7,95.1,20.2,23.3,86.5,0.04,0.03,0.01,0.12,4.01,0.08,0,3.39,Matches
38,Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,22.7,26.4,86.2,376.4,61.8,0.91,0.91,100,18.2,20.9,87,3.64,4.55,80,0,0,0,0,0.91,0.91,0,1.82,Matches
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,37.5,42.6,88.1,779.9,252.5,0.32,0.72,45,26.1,28.3,92.1,11.1,13.5,81.9,0.07,0.02,0.05,0.14,2.41,0.36,0,2.19,Matches
40,Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6,28.7,34.3,83.5,450.5,135.2,1,1.83,54.5,24.3,27.7,88,3.33,4.83,69,0.17,0.2,-0.03,0.83,2.5,0.33,0,4.5,Matches
41,Kevin Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,1995,12.7,51.9,59.4,87.4,996.1,288.4,0.31,0.71,44.4,40.8,43.9,92.8,10.8,14.7,73.3,0,0,0,0.08,1.97,0.08,0,2.28,Matches
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,80.9,89.1,90.8,1695.2,558.8,0.72,1.33,54.1,56.6,59.9,94.5,23.6,27.9,84.6,0.04,0.08,-0.04,0.65,10.6,0.86,0.25,8.63,Matches
43,Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,42.6,52,81.9,762.2,311.4,0.32,1.79,17.9,35,39.4,88.8,7.24,10.8,67.3,0,0.07,-0.07,0.83,3.08,0.83,0.38,7.24,Matches
44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13,17.5,23.7,73.7,257.9,28.8,1.31,2.46,53.1,13.5,17.8,76.2,2.62,3.46,75.6,0.08,0.16,-0.08,1.15,0.46,0.69,0,1,Matches
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,76.7,88.1,87.1,1243.3,391.4,1.44,3.54,40.7,65.8,71.7,91.8,9.42,12.9,73.2,0.21,0.14,0.07,1.15,5.19,1.56,0.74,7.28,Matches
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,51.8,65.4,79.2,965.3,341.7,1.16,2.54,45.5,39.7,45,88.2,10.9,17.8,61.3,0.43,0.31,0.12,3.12,7.37,2.8,0.14,10.9,Matches
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,45,52.3,86,1160.6,338.7,0.17,0.44,37.5,22.8,24.9,91.4,22,26.9,81.8,0,0.01,-0.01,0.14,2.67,0.14,0.03,2.28,Matches
48,Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,35.8,52.9,67.7,644.5,254.7,0.63,3.33,18.8,28.2,34.4,82.1,6.98,15.2,45.9,0.31,0.2,0.11,1.88,3.23,2.08,0.94,6.77,Matches
49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,17.6,22.3,78.7,250,36.1,0.58,1.36,42.9,15.1,17.8,85.2,1.84,3.2,57.6,0.1,0.14,-0.04,0.87,0.58,0.58,0,0.87,Matches
50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,14.2,19,75,192,31.5,0.68,1.36,50,12.7,15.6,81.5,0.85,2.03,41.7,0.17,0.17,0,0.85,0.34,0.34,0,1.19,Matches
