Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,0.11,0.93,0.18,19.2,0.93,0.18,0.08,0.4,0.11,0.04,0.04,0.08,0.05,0.06,0.03,0.02,0.11,0.19,0.17
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,0,0.39,0.11,28.6,0.39,0.11,0,0,0,0,0,0.01,0.01,0.03,-0.01,-0.01,0.09,0.11,0.11
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,0.11,0.68,0.18,26.3,0.68,0.18,0.16,0.6,0,0,0,0.05,0.05,0.07,0.06,0.06,0,0.05,0.05
4,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,0.59,3.53,1.76,50,3.44,1.72,0.17,0.33,0,0,0,0.76,0.76,0.21,-0.18,-0.18,0.1,0.82,0.82
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,0.05,1.63,0.35,21.2,1.63,0.35,0.03,0.14,0.15,0,0,0.08,0.08,0.05,-0.03,-0.03,0.07,0.15,0.15
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,0,0.72,0,0,0.72,0,0,,0,0,0,0.03,0.03,0.04,-0.03,-0.03,0.17,0.2,0.2
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,0.11,0.37,0.21,57.1,0.37,0.21,0.29,0.5,0,0,0,0.07,0.07,0.2,0.03,0.03,0,0.08,0.08
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,0.61,3.58,1.42,39.8,3.58,1.42,0.17,0.43,0,0,0,0.59,0.59,0.17,0.02,0.02,0.1,0.69,0.69
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,0,0.68,0.27,40,0.68,0.27,0,0,0,0,0,0.05,0.05,0.07,-0.05,-0.05,0.02,0.07,0.07
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,0.06,0.48,0.2,41.2,0.48,0.2,0.12,0.29,0,0,0,0.06,0.06,0.12,0,0,0.05,0.1,0.1
11,Che Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,0.33,3.01,0.73,24.3,3,0.73,0.11,0.44,0,0,0,0.34,0.34,0.11,-0.02,-0.02,0.1,0.44,0.44
